Cluster number,Erratic measure without drift,Erratic measure of the cluster
0,4479,11259.165639893714
1,4479,9105.368627386035
2,4479,7940.695796785922
3,4479,43710.468572817714
4,4479,9809.424865868777
5,4479,22248.110417220898
6,4479,14673.857449548786
7,4479,6122.27865058535
8,4479,14465.90214094664
9,4479,10489.442068371221
10,4479,34453.133876412176
11,4479,20662.88662709338
12,4479,12608.155847254293
13,4479,28399.608668243625
14,4479,11314.211375222374
15,4479,30234.435668703052
16,4479,7827.122302384029
17,4479,13874.839152644896
18,4479,38867.542363285174
19,4479,25563.62443429439
20,4479,44805.918612948386
21,4479,22352.68425875036
22,4479,33796.82153582459
23,4479,10718.922279106693
24,4479,13097.081403857066
25,4479,30765.11663938323
26,4479,28220.98944770243
27,4479,16645.559804471406
28,4479,25115.330530183244
29,4479,36517.12637550624
30,4479,13438.005580355406
31,4479,24998.924333239083
32,4479,22809.695806578067
33,4479,37979.65931839892
34,4479,35722.49191717371
35,4479,33870.938457147124
36,4479,19776.09602175845
37,4479,15601.261908435145
38,4479,27216.037408781365
39,4479,19294.797942708843
40,4479,36069.98481287163
41,4479,36164.637162284
42,4479,21540.360535489166
43,4479,56378.428028157075
44,4479,40593.090193851
45,4479,33279.49668565894
46,4479,21889.785642529547
47,4479,24477.918500592634
48,4479,112575.62390958476
49,4479,119130.75795694227
50,4479,13629.816314265041
51,4479,114392.36155672044
52,4479,111322.81499624944
53,4479,103235.52316179316
54,4479,28885.14788443189
55,4479,36278.73699267582
56,4479,11367.406107841723
57,4479,38383.43934175187
58,4479,40868.71119409991
59,4479,47592.496788623896
60,4479,44656.24339106171
61,4479,33460.30142371027
62,4479,34026.7755312384
63,4479,27424.05121391809
64,4479,12365.444061905355
65,4479,30883.290670406186
66,4479,39020.00861498724
67,4479,40579.28386316504
68,4479,40187.13985688216
69,4479,42088.9796007251
70,4479,33660.09068421671
71,4479,51945.353329673046
72,4479,21388.5008212747
73,4479,58146.370530977256
74,4479,26637.466626609403
75,4479,42881.337773779866
76,4479,28147.65394523304
77,4479,28930.513668307107
